,Sample.id,lat,lon,ai_et0,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,contrast,correlation,cv,dem,dissimilarity,eastness,entropy,evaporation,evenness,EVImax,EVImean,Gppmax,Gppmean,homogeneity,maximum,ref,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,NDVImax,NDVImean,northness,Nppmax,Nppmean,ocs,range,shannon,simpson,std,uniformity,variance,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bdod2_1,bdod2_2,cec2_1,cec2_2,cfvo2_1,cfvo2_2,clay2_1,clay2_2,nitrogen2_1,nitrogen2_2,ocd2_1,ocd2_2,phh2o2_1,phh2o2_2,sand2_1,sand2_2,silt2_1,silt2_2,soc2_1,soc2_2,shannon_species,shannon_genus,shannon_family,ece,esp,biome,X.y,JGI.id,Type,Lat,Lon,Size.bp.,Continent,Biome,Data.Contributor,Library.Instrument,Library.Strategy,Library.Source,Library.Selection,Library.Layout,Library.Construction.protocol,JGI.Library.Instrument
11,Ctu1_BDME190026003,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.597453462,5.078821723,4.609925005,NA,NA,Bare Land,11,NA,In-house,30.39472222,121.2741667,83342600,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
12,Ctu3_BDME190025997,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.14333325,4.885529393,4.446683006,NA,NA,Bare Land,12,NA,In-house,30.39472222,121.2741667,59555324,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
13,Ctu4_BDME190026009,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.08162411,4.535775477,3.719203262,NA,NA,Bare Land,13,NA,In-house,30.39472222,121.2741667,63984246,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
14,Ctu5_BDME190026013,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.509975441,5.121146875,4.74656774,NA,NA,Bare Land,14,NA,In-house,30.39472222,121.2741667,93565280,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
15,Cxia1_BDME190026007,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.41008562,4.921591112,4.429663435,NA,NA,Wetland,15,NA,In-house,30.39472222,121.2741667,81082964,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
16,Cxia2_BDME190025877,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.720434907,5.308612285,4.903468234,NA,NA,Wetland,16,NA,In-house,30.39472222,121.2741667,75973584,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
17,Cxia3_BDME190026000,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.220931174,4.867180369,4.261645814,NA,NA,Wetland,17,NA,In-house,30.39472222,121.2741667,66010020,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
18,Cxia4_BDME190026012,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.302887098,4.942630577,4.644790878,NA,NA,Wetland,18,NA,In-house,30.39472222,121.2741667,80873888,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
19,Cxia5_BDME190026016,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.322219375,4.905697026,4.599160039,NA,NA,Wetland,19,NA,In-house,30.39472222,121.2741667,83325402,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
20,ERR1051325,34.98167,-97.52056,-0.30425468,0.48265788,0.73660547,0.21421212,-0.39388615,1.0208735,-0.48731554,0.7766371,0.13675065,-0.067184456,-0.85672474,-0.14323007,0.44849896,0.3365624,2.3157687,0.69076204,0.4733224,0.5193549,0.4907645,0.6072895,-0.11186658,-0.3506049,-0.7885365,-0.57487696,-0.9783798,-0.8698698,-0.9714618,-0.9786031,-0.21215692,0.6505773,0.26503927,2.082587,0.7434596,-2.409413,1.024572,-0.6731537,-0.29988563,0.20858516,0.7838696,0.66509014,0.1066652,-0.49938443,-0.15865584,0.8284807,1.0088121,0.043315936,-0.01197496,0.950418,0.6613293,0.28563756,0.7495358,0.4637671,0.9328355,0.71784794,0.60990477,0.4363869,0.68612117,-0.8291943,0.33496255,0.79224163,0.4411131,0.10987661,1.2037059,1.4213289,-0.6483056,-0.72392905,-1.3745401,-1.4222823,0.5278422,0.3752074,0.08405484,-0.6985103,-0.55459714,-0.3998763,0.03215657,0.07698499,-0.59926254,-0.54909563,0.5147305,0.5554933,-0.25441453,-0.666181,3.859074921,3.586523318,3.458643468,-0.26743603,-0.82607514,Grassland,20,NA,Public,34.98167,-97.52056,226336276,North America,Grassland,NA,Illumina HiSeq 2000,WGS,METAGENOMIC,RANDOM,PAIRED,Illumina TruSeq library preparation,NA
21,ERR436053,-34.233,138.309,-0.7360112,0.63995093,0.9813434,0.22393811,-0.3298194,-1.151786,1.4206809,1.0788286,0.22371796,1.1485947,0.6021944,0.5742541,-0.23313946,1.221822,-2.9361937,0.72748715,0.76925904,0.42975858,1.318467,0.34934482,-0.21123466,-0.3452251,-0.74855137,-0.6295462,-0.80682623,-0.5957188,-0.9123356,-0.86498094,0.15371199,1.1439657,0.84530586,2.2938533,0.20775652,-1.9026369,1.3722191,-0.2900313,-0.60440093,1.4158425,0.899805,0.65813607,1.6597675,-0.51867306,1.4254124,0.87107366,1.3505114,1.0470473,-0.9097759,0.83903104,0.99577576,-0.64090025,0.4367202,1.2536763,0.74786484,0.96248823,-0.29100025,-0.46097413,-0.088736586,-0.86526483,-0.41795737,-0.06960705,-0.58185834,0.09350715,-0.009329035,0.03863866,-0.7925932,-0.7096415,-0.79861945,-0.7876211,-0.07664861,-0.030113773,-0.8349526,-0.9490562,-0.64967406,-0.81235236,1.161266,1.2862836,1.4818673,1.4832704,-1.7220335,-1.7683184,-0.57413507,-0.45102736,1.093383411,1.093383411,1.093383411,0.01004611,1.6546514,Agricultural Land,22,NA,Public,-34.233,138.309,33349134,Australia,Agricultural Land,NA,Illumina HiSeq 2000,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
22,ERR436055,-34.255,138.318,-0.7335126,0.63742954,0.9792394,0.22216143,-0.3288416,-1.1667631,1.419476,1.076836,0.22168574,0.8940103,0.2977135,0.4015064,-0.22916436,1.2951599,-2.3112705,0.7701415,0.7612915,0.42257184,1.2956766,0.37677485,-0.23482916,-0.3404545,-0.9688574,-0.5910052,-0.79257154,-0.5935178,-0.9058681,-0.8532241,0.14683574,1.1425388,0.85184693,2.2903035,0.19867983,-2.225009,1.3712995,-0.2732498,-0.79022765,1.532327,0.9396172,0.6836088,1.516803,-0.5253917,0.927855,0.86975724,1.3139607,1.0349466,-0.9117325,0.8344241,0.99577576,-0.64923406,0.43580252,1.251682,0.74572325,0.96149,-0.28512657,-0.45542336,-0.11351095,-0.85508955,-0.41330338,-0.06597655,-0.58006406,0.10056023,0.041840173,0.039335493,-0.8089748,-0.7289108,-0.7896972,-0.7689943,-0.21299937,-0.0940494,-0.8108978,-0.9265382,-0.62807804,-0.77089024,1.143431,1.2643528,1.6398351,1.6268284,-1.8259872,-1.8980322,-0.5857161,-0.47379988,2.104165698,1.571914286,1.571914286,-0.21730077,1.508707,Agricultural Land,24,NA,Public,-34.255,138.318,32142954,Australia,Agricultural Land,NA,Illumina HiSeq 2000,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
23,ERR436057,-34.255,138.318,-0.7335126,0.63742954,0.9792394,0.22216143,-0.3288416,-1.1667631,1.419476,1.076836,0.22168574,0.8940103,0.2977135,0.4015064,-0.22916436,1.2951599,-2.3112705,0.7701415,0.7612915,0.42257184,1.2956766,0.37677485,-0.23482916,-0.3404545,-0.9688574,-0.5910052,-0.79257154,-0.5935178,-0.9058681,-0.8532241,0.14683574,1.1425388,0.85184693,2.2903035,0.19867983,-2.225009,1.3712995,-0.2732498,-0.79022765,1.532327,0.9396172,0.6836088,1.516803,-0.5253917,0.927855,0.86975724,1.3139607,1.0349466,-0.9117325,0.8344241,0.99577576,-0.64923406,0.43580252,1.251682,0.74572325,0.96149,-0.28512657,-0.45542336,-0.11351095,-0.85508955,-0.41330338,-0.06597655,-0.58006406,0.10056023,0.041840173,0.039335493,-0.8089748,-0.7289108,-0.7896972,-0.7689943,-0.21299937,-0.0940494,-0.8108978,-0.9265382,-0.62807804,-0.77089024,1.143431,1.2643528,1.6398351,1.6268284,-1.8259872,-1.8980322,-0.5857161,-0.47379988,2.069337107,1.59931541,1.59931541,-0.21730077,1.508707,Agricultural Land,25,NA,Public,-34.255,138.318,44668036,Australia,Agricultural Land,NA,Illumina HiSeq 2000,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
24,ERR436058,-34.255,138.318,-0.7335126,0.63742954,0.9792394,0.22216143,-0.3288416,-1.1667631,1.419476,1.076836,0.22168574,0.8940103,0.2977135,0.4015064,-0.22916436,1.2951599,-2.3112705,0.7701415,0.7612915,0.42257184,1.2956766,0.37677485,-0.23482916,-0.3404545,-0.9688574,-0.5910052,-0.79257154,-0.5935178,-0.9058681,-0.8532241,0.14683574,1.1425388,0.85184693,2.2903035,0.19867983,-2.225009,1.3712995,-0.2732498,-0.79022765,1.532327,0.9396172,0.6836088,1.516803,-0.5253917,0.927855,0.86975724,1.3139607,1.0349466,-0.9117325,0.8344241,0.99577576,-0.64923406,0.43580252,1.251682,0.74572325,0.96149,-0.28512657,-0.45542336,-0.11351095,-0.85508955,-0.41330338,-0.06597655,-0.58006406,0.10056023,0.041840173,0.039335493,-0.8089748,-0.7289108,-0.7896972,-0.7689943,-0.21299937,-0.0940494,-0.8108978,-0.9265382,-0.62807804,-0.77089024,1.143431,1.2643528,1.6398351,1.6268284,-1.8259872,-1.8980322,-0.5857161,-0.47379988,2.14214576,1.624433394,1.624433394,-0.21730077,1.508707,Agricultural Land,26,NA,Public,-34.255,138.318,39174750,Australia,Agricultural Land,NA,Illumina HiSeq 2000,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
